PERMNO,Company Name,Ticker,SP500 Start,SP500 End
64390,PROGRESSIVE CORP OH,PGR,"Aug. 4, 1997","Dec. 31, 2024"
64653,PUBLIC STORAGE,PSA,"Aug. 19, 2005","Dec. 31, 2024"
64936,DOMINION ENERGY INC,D,"May 20, 1983","Dec. 31, 2024"
64995,KEYCORP NEW,KEY,"March 2, 1994","Dec. 31, 2024"
65402,SMITH A O CORP,AOS,"July 26, 2017","Dec. 31, 2024"
65541,COOPER COMPANIES INC,COO,"Sept. 23, 2016","Dec. 31, 2024"
65875,VERIZON COMMUNICATIONS INC,VZ,"Dec. 1, 1983","Dec. 31, 2024"
65947,WELLTOWER INC,WELL,"Jan. 30, 2009","Dec. 31, 2024"
66093,A T & T INC,T,"Dec. 1, 1983","Dec. 31, 2024"
66157,U S BANCORP DEL,USB,"Oct. 23, 1995","Dec. 31, 2024"
66181,HOME DEPOT INC,HD,"March 3, 1988","Dec. 31, 2024"
66384,WESTERN DIGITAL CORP,WDC,"July 1, 2009","Dec. 31, 2024"
66800,AMERICAN INTERNATIONAL GROUP INC,AIG,"Feb. 14, 1980","Dec. 31, 2024"
67598,HEALTHPEAK PROPERTIES INC,PEAK,"March 31, 2008","Dec. 31, 2024"
69032,MORGAN STANLEY DEAN WITTER & CO,MS,"Sept. 22, 1995","Dec. 31, 2024"
69649,RAYMOND JAMES FINANCIAL INC,RJF,"March 20, 2017","Dec. 31, 2024"
69796,CONSTELLATION BRANDS INC,STZ,"July 5, 2005","Dec. 31, 2024"
70519,CITIGROUP INC,C,"May 26, 1988","Dec. 31, 2024"
70578,ECOLAB INC,ECL,"Jan. 12, 1989","Dec. 31, 2024"
71563,TRUIST FINANCIAL CORP,TFC,"Dec. 4, 1997","Dec. 31, 2024"
72726,STATE STREET CORP,STT,"Aug. 15, 1997","Dec. 31, 2024"
73139,STRYKER CORP,SYK,"Dec. 12, 2000","Dec. 31, 2024"
75034,BAKER HUGHES CO,BKR,"April 9, 1987","Dec. 31, 2024"
75154,CARNIVAL CORP,CCL,"Dec. 22, 1998","Dec. 31, 2024"
75186,SCHWAB CHARLES CORP NEW,SCHW,"June 2, 1997","Dec. 31, 2024"
75241,PIONEER NATURAL RESOURCES CO,PXD,"Sept. 24, 2008",7-May-24
75510,ADOBE INC,ADBE,"May 6, 1997","Dec. 31, 2024"
75591,IDEX CORP,IEX,"Aug. 9, 2019","Dec. 31, 2024"
75607,GEN DIGITAL INC,GEN,"March 31, 2003","Dec. 31, 2024"
75694,BIO TECHNE CORP,TECH,"Aug. 30, 2021","Dec. 31, 2024"
75819,VENTAS INC,VTR,"March 4, 2009","Dec. 31, 2024"
75825,EOG RESOURCES INC,EOG,"Nov. 2, 2000","Dec. 31, 2024"
75828,ELECTRONIC ARTS INC,EA,"July 22, 2002","Dec. 31, 2024"
75912,P T C INC,PTC,"April 20, 2021","Dec. 31, 2024"
76076,CISCO SYSTEMS INC,CSCO,"Dec. 31, 1993","Dec. 31, 2024"
76082,COTERRA ENERGY INC,CTRA,"June 23, 2008","Dec. 31, 2024"
76095,HOLOGIC INC,HOLX,"March 30, 2016","Dec. 31, 2024"
76185,TYLER TECHNOLOGIES INC,TYL,"June 22, 2020","Dec. 31, 2024"
76226,PARAMOUNT GLOBAL,PARA,"Sept. 30, 1994","Dec. 31, 2024"
76230,TRIMBLE INC,TRMB,"Jan. 21, 2021","Dec. 31, 2024"
76605,AUTOZONE INC,AZO,"Jan. 2, 1997","Dec. 31, 2024"
76614,REGENERON PHARMACEUTICALS INC,REGN,"May 1, 2013","Dec. 31, 2024"
76709,I D E X X LABORATORIES INC,IDXX,"Jan. 5, 2017","Dec. 31, 2024"
76712,A E S CORP,AES,"Oct. 2, 1998","Dec. 31, 2024"
76744,VERTEX PHARMACEUTICALS INC,VRTX,"Sept. 23, 2013","Dec. 31, 2024"
76795,ZEBRA TECHNOLOGIES CORP,ZBRA,"Dec. 23, 2019","Dec. 31, 2024"
76841,BIOGEN INC,BIIB,"Nov. 13, 2003","Dec. 31, 2024"
77037,OLD DOMINION FREIGHT LINE INC,ODFL,"Dec. 9, 2019","Dec. 31, 2024"
77129,KIMCO REALTY CORP,KIM,"April 3, 2006","Dec. 31, 2024"
77178,QUALCOMM INC,QCOM,"July 22, 1999","Dec. 31, 2024"
77274,GILEAD SCIENCES INC,GILD,"July 1, 2004","Dec. 31, 2024"
77338,ROPER TECHNOLOGIES INC,ROP,"Dec. 23, 2009","Dec. 31, 2024"
77357,SYNOPSYS INC,SNPS,"March 16, 2017","Dec. 31, 2024"
77496,MOHAWK INDUSTRIES INC,MHK,"Dec. 23, 2013","Dec. 31, 2024"
77605,BOSTON SCIENTIFIC CORP,BSX,"Feb. 24, 1995","Dec. 31, 2024"
77649,STERIS PLC NEW,STE,"Dec. 23, 2019","Dec. 31, 2024"
77661,D R HORTON INC,DHI,"July 5, 2005","Dec. 31, 2024"
77702,STARBUCKS CORP,SBUX,"June 8, 2000","Dec. 31, 2024"
77730,TYSON FOODS INC,TSN,"Aug. 11, 2005","Dec. 31, 2024"
78975,INTUIT INC,INTU,"Dec. 11, 2000","Dec. 31, 2024"
78987,MICROCHIP TECHNOLOGY INC,MCHP,"Sept. 7, 2007","Dec. 31, 2024"
79057,CHUBB LTD,CB,"July 15, 2010","Dec. 31, 2024"
79103,O REILLY AUTOMOTIVE INC NEW,ORLY,"March 27, 2009","Dec. 31, 2024"
79145,ROYAL CARIBBEAN CRUISES LTD,RCL,"Dec. 5, 2014","Dec. 31, 2024"
79323,ALLSTATE CORP,ALL,"July 13, 1995","Dec. 31, 2024"
79452,CAMDEN PROPERTY TRUST,CPT,"April 4, 2022","Dec. 31, 2024"
79545,BORGWARNER INC,BWA,"Dec. 19, 2011","Dec. 31, 2024"
79547,EQUITY RESIDENTIAL,EQR,"Dec. 3, 2001","Dec. 31, 2024"
79637,UNIVERSAL HEALTH SERVICES INC,UHS,"Sept. 22, 2014","Dec. 31, 2024"
79678,ACTIVISION BLIZZARD INC,ATVI,"Aug. 31, 2015","Oct. 17, 2023"
79698,GARTNER INC,IT,"April 5, 2017","Dec. 31, 2024"
79782,REGENCY CENTERS CORP,REG,"March 2, 2017","Dec. 31, 2024"
79785,N V R INC,NVR,"Sept. 26, 2019","Dec. 31, 2024"
79906,INCYTE CORP,INCY,"Feb. 28, 2017","Dec. 31, 2024"
80080,EASTMAN CHEMICAL CO,EMN,"Jan. 4, 1994","Dec. 31, 2024"
80100,SIMON PROPERTY GROUP INC NEW,SPG,"June 26, 2002","Dec. 31, 2024"
80183,MID AMERICA APT COMMUNITIES INC,MAA,"Dec. 2, 2016","Dec. 31, 2024"
80191,ALBEMARLE CORP,ALB,"July 1, 2016","Dec. 31, 2024"
80204,MARTIN MARIETTA MATERIALS INC,MLM,"July 2, 2014","Dec. 31, 2024"
80286,TRACTOR SUPPLY CO NEW,TSCO,"Jan. 24, 2014","Dec. 31, 2024"
80320,COPART INC,CPRT,"July 2, 2018","Dec. 31, 2024"
80381,AVALONBAY COMMUNITIES INC,AVB,"Jan. 10, 2007","Dec. 31, 2024"
80681,ESSEX PROPERTY TRUST INC,ESS,"April 2, 2014","Dec. 31, 2024"
81045,REALTY INCOME CORP,O,"April 7, 2015","Dec. 31, 2024"
81055,CAPITAL ONE FINANCIAL CORP,COF,"July 1, 1998","Dec. 31, 2024"
81061,MCKESSON H B O C INC,MCK,"Jan. 13, 1999","Dec. 31, 2024"
81481,DOLLAR TREE INC,DLTR,"Dec. 19, 2011","Dec. 31, 2024"
81540,AMERISOURCEBERGEN CORP,ABC,"Aug. 30, 2001","Dec. 31, 2024"
81655,DARDEN RESTAURANTS INC,DRI,"May 30, 1995","Dec. 31, 2024"
81677,WABTEC CORP,WAB,"Feb. 27, 2019","Dec. 31, 2024"
81696,DISH NETWORK CORP,DISH,"March 13, 2017",16-Jun-23
81736,RESMED INC,RMD,"July 26, 2017","Dec. 31, 2024"
81774,FREEPORT MCMORAN INC,FCX,"July 31, 1995","Dec. 31, 2024"
82276,ARCH CAPITAL GROUP LTD NEW,ACGL,"Nov. 1, 2022","Dec. 31, 2024"
82303,EVEREST RE GROUP LTD,RE,"June 19, 2017","Dec. 31, 2024"
82307,DAVITA INC,DVA,"July 31, 2008","Dec. 31, 2024"
82515,POOL CORP,POOL,"Oct. 7, 2020","Dec. 31, 2024"
82581,SCHEIN HENRY INC,HSIC,"March 18, 2015","Dec. 31, 2024"
82598,NETAPP INC,NTAP,"June 25, 1999","Dec. 31, 2024"
82642,LAUDER ESTEE COS INC,EL,"Jan. 5, 2006","Dec. 31, 2024"
82651,WATERS CORP,WAT,"Jan. 2, 2002","Dec. 31, 2024"
82775,HARTFORD FINANCIAL SVCS GRP INC,HIG,"Dec. 20, 1995","Dec. 31, 2024"
83143,IRON MOUNTAIN INC NEW,IRM,"Jan. 6, 2009","Dec. 31, 2024"
83443,BERKSHIRE HATHAWAY INC DEL,BRK,"Feb. 16, 2010","Dec. 31, 2024"
83597,FACTSET RESEARCH SYSTEMS INC,FDS,"Dec. 20, 2021","Dec. 31, 2024"
83621,ANSYS INC,ANSS,"June 19, 2017","Dec. 31, 2024"
84129,ZIONS BANCORPORATION N A,ZION,"June 25, 2001",15-Mar-24
84262,STEEL DYNAMICS INC,STLD,"Dec. 22, 2022","Dec. 31, 2024"
84373,QUEST DIAGNOSTICS INC,DGX,"Dec. 12, 2002","Dec. 31, 2024"
84381,ROCKWELL AUTOMATION INC,ROK,"Dec. 9, 1996","Dec. 31, 2024"
84761,TAKE TWO INTERACTIVE SOFTWR INC,TTWO,"March 19, 2018","Dec. 31, 2024"
84767,ALEXANDRIA REAL EST EQUITIES INC,ARE,"March 20, 2017","Dec. 31, 2024"
84769,AMPHENOL CORP NEW,APH,"Sept. 30, 2008","Dec. 31, 2024"
84788,AMAZON COM INC,AMZN,"Nov. 21, 2005","Dec. 31, 2024"
85035,QORVO INC,QRVO,"June 12, 2015","Dec. 20, 2024"
85058,BOSTON PROPERTIES INC,BXP,"April 3, 2006","Dec. 31, 2024"
85072,RALPH LAUREN CORP,RL,"Feb. 2, 2007","Dec. 31, 2024"
85257,AMETEK INC NEW,AME,"Sept. 23, 2013","Dec. 31, 2024"
85269,VALERO ENERGY CORP NEW,VLO,"April 29, 2004","Dec. 31, 2024"
85348,YUM BRANDS INC,YUM,"Oct. 7, 1997","Dec. 31, 2024"
85459,CH ROBINSON WORLDWIDE INC,CHRW,"March 2, 2007","Dec. 31, 2024"
85592,PROLOGIS INC,PLD,"June 3, 2011","Dec. 31, 2024"
85621,METTLER TOLEDO INTERNATIONAL INC,MTD,"Sept. 6, 2016","Dec. 31, 2024"
85631,AUTODESK INC,ADSK,"Dec. 21, 1989","Dec. 31, 2024"
85663,UNITED RENTALS INC,URI,"Sept. 22, 2014","Dec. 31, 2024"
85753,VERISIGN INC,VRSN,"Feb. 1, 2006","Dec. 31, 2024"
85792,QUANTA SERVICES INC,PWR,"July 1, 2009","Dec. 31, 2024"
85913,MARRIOTT INTERNATIONAL INC NEW,MAR,"May 21, 1998","Dec. 31, 2024"
85914,BEST BUY COMPANY INC,BBY,"June 30, 1999","Dec. 31, 2024"
85926,SEALED AIR CORP NEW,SEE,"April 1, 1998","Dec. 15, 2023"
86111,AMERICAN TOWER CORP NEW,AMT,"Nov. 19, 2007","Dec. 31, 2024"
86136,SEMPRA ENERGY,SRE,"June 30, 1998","Dec. 31, 2024"
86158,COGNIZANT TECHNOLOGY SOLS CORP,CTSH,"Nov. 17, 2006","Dec. 31, 2024"
86228,REPUBLIC SERVICES INC,RSG,"Dec. 5, 2008","Dec. 31, 2024"
86288,COSTAR GROUP INC,CSGP,"Sept. 19, 2022","Dec. 31, 2024"
86339,CROWN CASTLE INC,CCI,"March 14, 2012","Dec. 31, 2024"
86356,EBAY INC,EBAY,"July 22, 2002","Dec. 31, 2024"
86580,NVIDIA CORP,NVDA,"Nov. 30, 2001","Dec. 31, 2024"
86783,BOOKING HOLDINGS INC,BKNG,"Nov. 6, 2009","Dec. 31, 2024"
86868,GOLDMAN SACHS GROUP INC,GS,"July 22, 2002","Dec. 31, 2024"
86964,F 5 INC,FFIV,"Dec. 20, 2010","Dec. 31, 2024"
86979,JUNIPER NETWORKS INC,JNPR,"June 2, 2006","Dec. 31, 2024"
86996,S B A COMMUNICATIONS CORP NEW,SBAC,"Sept. 1, 2017","Dec. 31, 2024"
87055,COSTCO WHOLESALE CORP NEW,COST,"Oct. 22, 1993","Dec. 31, 2024"
87137,DEVON ENERGY CORP NEW,DVN,"Aug. 30, 2000","Dec. 31, 2024"
87267,BLACKROCK INC,BLK,"April 4, 2011","Dec. 31, 2024"
87299,AKAMAI TECHNOLOGIES INC,AKAM,"July 12, 2007","Dec. 31, 2024"
87432,AGILENT TECHNOLOGIES INC,A,"June 5, 2000","Dec. 31, 2024"
87445,TELEDYNE TECHNOLOGIES,TDY,"June 22, 2020","Dec. 31, 2024"
87447,UNITED PARCEL SERVICE INC,UPS,"July 22, 2002","Dec. 31, 2024"
87541,PACKAGING CORP AMERICA,PKG,"July 26, 2017","Dec. 31, 2024"
87657,EDWARDS LIFESCIENCES CORP,EW,"April 1, 2011","Dec. 31, 2024"
87717,EXPEDITORS INTERNATIONAL WA INC,EXPD,"Oct. 10, 2007","Dec. 31, 2024"
87842,METLIFE INC,MET,"Dec. 11, 2000","Dec. 31, 2024"
88031,MONSTER BEVERAGE CORP NEW,MNST,"June 29, 2012","Dec. 31, 2024"
88182,ON SEMICONDUCTOR CORP,ON,"June 21, 2022","Dec. 31, 2024"
88281,CHARLES RIVER LABS INTL INC,CRL,"May 14, 2021","Dec. 31, 2024"
88352,INTUITIVE SURGICAL INC,ISRG,"June 2, 2008","Dec. 31, 2024"
88446,ILLUMINA INC,ILMN,"Nov. 19, 2015",21-Jun-24
88661,TAPESTRY INC,TPR,"Sept. 1, 2004","Dec. 31, 2024"
88664,HENRY JACK & ASSOC INC,JKHY,"Nov. 13, 2018","Dec. 31, 2024"
88837,GARMIN LTD,GRMN,"Dec. 12, 2012","Dec. 31, 2024"
88860,ALIGN TECHNOLOGY INC,ALGN,"June 19, 2017","Dec. 31, 2024"
88873,GLOBAL PAYMENTS INC,GPN,"April 25, 2016","Dec. 31, 2024"
89003,FIDELITY NATIONAL INFO SVCS INC,FIS,"Nov. 10, 2006","Dec. 31, 2024"
89006,MONDELEZ INTERNATIONAL INC,MDLZ,"April 2, 2007","Dec. 31, 2024"
89017,WILLIS TOWERS WATSON PUB LTD CO,WTW,"Jan. 5, 2016","Dec. 31, 2024"
89070,ZIMMER BIOMET HOLDINGS INC,ZBH,"Aug. 7, 2001","Dec. 31, 2024"
89071,ACCENTURE PLC IRELAND,ACN,"July 6, 2011","Dec. 31, 2024"
89179,ELEVANCE HEALTH INC,ELV,"July 25, 2002","Dec. 31, 2024"
89195,PRINCIPAL FINANCIAL GROUP INC,PFG,"July 22, 2002","Dec. 31, 2024"
89217,ADVANCE AUTO PARTS INC,AAP,"July 9, 2015","Aug. 24, 2023"
89258,PRUDENTIAL FINANCIAL INC,PRU,"July 22, 2002","Dec. 31, 2024"
89269,CENTENE CORP DEL,CNC,"March 30, 2016","Dec. 31, 2024"
89393,NETFLIX INC,NFLX,"Dec. 20, 2010","Dec. 31, 2024"
89508,CARMAX INC,KMX,"June 28, 2010","Dec. 31, 2024"
89525,COMCAST CORP NEW,CMCSA,"Nov. 19, 2002","Dec. 31, 2024"
89533,WYNN RESORTS LTD,WYNN,"Nov. 14, 2008","Dec. 31, 2024"
89617,EQUINIX INC,EQIX,"March 23, 2015","Dec. 31, 2024"
89626,C M E GROUP INC,CME,"Aug. 11, 2006","Dec. 31, 2024"
89641,SEAGATE TECHNOLOGY HOLDINGS PLC,STX,"July 2, 2012","Dec. 31, 2024"
89781,MOLINA HEALTHCARE INC,MOH,"March 2, 2022","Dec. 31, 2024"
89866,L K Q CORP,LKQ,"May 23, 2016","Dec. 31, 2024"
90038,ASSURANT INC,AIZ,"April 10, 2007","Dec. 31, 2024"
90071,N R G ENERGY INC,NRG,"Jan. 29, 2010","Dec. 31, 2024"
90090,SIGNATURE BANK NEW YORK N Y,SBNY,"Dec. 20, 2021",14-Mar-23
90199,C B R E GROUP INC,CBRE,"Nov. 10, 2006","Dec. 31, 2024"
90215,SALESFORCE INC,CRM,"Sept. 15, 2008","Dec. 31, 2024"
90248,DOMINOS PIZZA INC,DPZ,"May 12, 2020","Dec. 31, 2024"
90305,EXTRA SPACE STORAGE INC,EXR,"Jan. 19, 2016","Dec. 31, 2024"
90319,ALPHABET INC,GOOGL,"April 3, 2006","Dec. 31, 2024"
90373,DIGITAL REALTY TRUST INC,DLR,"May 18, 2016","Dec. 31, 2024"
90386,MOSAIC CO NEW,MOS,"Sept. 26, 2011","Dec. 31, 2024"
90454,MARKETAXESS HLDGS INC,MKTX,"July 1, 2019","Dec. 31, 2024"
90455,MONOLITHIC PWR SYS INC,MPWR,"Feb. 12, 2021","Dec. 31, 2024"
90505,LAS VEGAS SANDS CORP,LVS,"Oct. 3, 2019","Dec. 31, 2024"
90520,CELANESE CORP DEL,CE,"Dec. 24, 2018","Dec. 31, 2024"
90601,NASDAQ INC,NDAQ,"Oct. 22, 2008","Dec. 31, 2024"
90664,DEXCOM INC,DXCM,"May 12, 2020","Dec. 31, 2024"
90808,EXPEDIA GROUP INC,EXPE,"Oct. 2, 2007","Dec. 31, 2024"
90829,C F INDUSTRIES HOLDINGS INC,CF,"Aug. 27, 2008","Dec. 31, 2024"
90880,AMERIPRISE FINANCIAL INC,AMP,"Oct. 3, 2005","Dec. 31, 2024"
90993,INTERCONTINENTALEXCHANGE GRP INC,ICE,"Sept. 26, 2007","Dec. 31, 2024"
91041,LIVE NATION ENTERTAINMENT INC,LYV,"Dec. 23, 2019","Dec. 31, 2024"
91068,CHIPOTLE MEXICAN GRILL INC,CMG,"April 28, 2011","Dec. 31, 2024"
91103,UNITED AIRLINES HOLDINGS INC,UAL,"Sept. 3, 2015","Dec. 31, 2024"
91152,TRANSDIGM GROUP INC,TDG,"June 3, 2016","Dec. 31, 2024"
91233,MASTERCARD INC,MA,"July 18, 2008","Dec. 31, 2024"
91547,LEIDOS HOLDINGS INC,LDOS,"Aug. 9, 2019","Dec. 31, 2024"
91556,ROSS STORES INC,ROST,"Dec. 21, 2009","Dec. 31, 2024"
91611,FIRST SOLAR INC,FSLR,"Dec. 19, 2022","Dec. 31, 2024"
91849,BROADRIDGE FINANCIAL SOLUTNS INC,BR,"June 18, 2018","Dec. 31, 2024"
91926,DELTA AIR LINES INC,DAL,"Sept. 11, 2013","Dec. 31, 2024"
91937,T MOBILE U S INC,TMUS,"July 15, 2019","Dec. 31, 2024"
92121,DISCOVER FINANCIAL SERVICES,DFS,"July 2, 2007","Dec. 31, 2024"
92157,T E CONNECTIVITY LTD,TEL,"Oct. 17, 2011","Dec. 31, 2024"
92322,ULTA BEAUTY INC,ULTA,"April 18, 2016","Dec. 31, 2024"
92402,M S C I INC,MSCI,"April 4, 2018","Dec. 31, 2024"
92602,PHILIP MORRIS INTERNATIONAL INC,PM,"March 31, 2008","Dec. 31, 2024"
92611,VISA INC,V,"Dec. 21, 2009","Dec. 31, 2024"
92614,AMERICAN WATER WORKS CO INC,AWK,"March 4, 2016","Dec. 31, 2024"
92655,UNITEDHEALTH GROUP INC,UNH,"July 1, 1994","Dec. 31, 2024"
93002,BROADCOM INC,AVGO,"May 8, 2014","Dec. 31, 2024"
93089,VERISK ANALYTICS INC,VRSK,"Oct. 8, 2015","Dec. 31, 2024"
93096,DOLLAR GENERAL CORP NEW,DG,"Dec. 3, 2012","Dec. 31, 2024"
93132,FORTINET INC,FTNT,"Oct. 11, 2018","Dec. 31, 2024"
93246,GENERAC HOLDINGS INC,GNRC,"March 22, 2021","Dec. 31, 2024"
93429,C B O E GLOBAL MARKETS INC,CBOE,"March 1, 2017","Dec. 31, 2024"
93436,TESLA INC,TSLA,"Dec. 21, 2020","Dec. 31, 2024"
75523,Emcor,EME,"September 22, 2025","Dec. 31, 2024"
19863,Robinhood Markets,HOOD,"September 22, 2025","Dec. 31, 2024"
22179,AppLovin,APP,"September 22, 2025","Dec. 31, 2024"
92357,Interactive Brokers,IBKR,"August 28, 2025","Dec. 31, 2024"
93316,"Block, Inc.",SQ,"July 23, 2025","Dec. 31, 2024"
16584,Trade Desk (The),TTD,"July 18, 2025","Dec. 31, 2024"
18833,Datadog,DDOG,"July 9, 2025","Dec. 31, 2024"
22175,Coinbase,COIN,"May 19, 2025","Dec. 31, 2024"
19522,DoorDash,DASH,"March 24, 2025","Dec. 31, 2024"
23604,TKO Group Holdings,TKO,"March 24, 2025","Dec. 31, 2024"
70352,"Williams-Sonoma, Inc.",WSM,"March 24, 2025","Dec. 31, 2024"
16990,Expand Energy,EXE,"March 24, 2025","Dec. 31, 2024"
92539,Apollo Global Management,APO,"December 23, 2024","Dec. 31, 2024"
94745,"Workday, Inc.",WDAY,"December 23, 2024","Dec. 31, 2024"
11624,Lennox International,LII,"December 23, 2024","Dec. 31, 2024"
14065,Texas Pacific Land Corporation,TPL,"November 26, 2024","Dec. 31, 2024"
19515,Palantir Technologies,PLTR,"September 23, 2024","Dec. 31, 2024"
18512,Dell Technologies,DELL,"September 23, 2024","Dec. 31, 2024"
15307,Erie Indemnity,ERIE,"September 23, 2024","Dec. 31, 2024"
93358,KKR,KKR,"June 24, 2024","Dec. 31, 2024"
18733,CrowdStrike,CRWD,"June 24, 2024","Dec. 31, 2024"
15414,GoDaddy,GDDY,"June 24, 2024","Dec. 31, 2024"
16420,Vistra,VST,"May 8, 2024","Dec. 31, 2024"
24040,GE Vernova,GEV,"April 2, 2024","Dec. 31, 2024"
24039,Solventum,SOLV,"April 1, 2024","Dec. 31, 2024"
91932,Supermicro,SMCI,"March 18, 2024","Dec. 31, 2024"
80133,Deckers Brands,DECK,"March 18, 2024","Dec. 31, 2024"
18641,Uber,UBER,"December 18, 2023","Dec. 31, 2024"
78096,Jabil,JBL,"December 18, 2023","Dec. 31, 2024"
90623,Builders FirstSource,BLDR,"December 18, 2023","Dec. 31, 2024"
25869,Hubbell,HUBB,"October 18, 2023","Dec. 31, 2024"
92243,Lululemon Athletica,LULU,"October 18, 2023","Dec. 31, 2024"
23696,Veralto,VLTO,"October 2, 2023","Dec. 31, 2024"
92257,Blackstone,BX,"September 18, 2023","Dec. 31, 2024"
19521,Airbnb,ABNB,"September 18, 2023","Dec. 31, 2024"
23376,Kenvue,KVUE,"August 25, 2023","Dec. 31, 2024"
94744,Palo Alto Networks,PANW,"June 20, 2023","Dec. 31, 2024"
85331,Axon Enterprise,AXON,"May 4, 2023","Dec. 31, 2024"
76043,Fair Isaac,FICO,"March 20, 2023","Dec. 31, 2024"
88537,Bunge Global,BG,"March 15, 2023","Dec. 31, 2024"
92083,Insulet,PODD,"March 15, 2023","Dec. 31, 2024"
23158,GE HealthCare,GEHC,"January 4, 2023","Dec. 31, 2024"
